province,date,year,quarter,quarter_label,projected_rate,projected_rate_upper,projected_rate_lower,is_projection,scenario
Northern Cape,2027-01-01,2027,1,Q1 2027,26.84,34.86,18.83,True,Pessimistic
Northern Cape,2027-04-01,2027,2,Q2 2027,26.73,32.92,20.55,True,Baseline
Northern Cape,2027-04-01,2027,2,Q2 2027,26.69,31.02,22.35,True,Optimistic
Northern Cape,2027-04-01,2027,2,Q2 2027,26.81,34.85,18.77,True,Pessimistic
Northern Cape,2027-07-01,2027,3,Q3 2027,26.69,32.89,20.48,True,Baseline
Northern Cape,2027-07-01,2027,3,Q3 2027,26.63,30.97,22.28,True,Optimistic
Northern Cape,2027-07-01,2027,3,Q3 2027,26.77,34.84,18.71,True,Pessimistic
Northern Cape,2027-10-01,2027,4,Q4 2027,26.64,32.86,20.41,True,Baseline
Northern Cape,2027-10-01,2027,4,Q4 2027,26.57,30.93,22.21,True,Optimistic
Northern Cape,2027-10-01,2027,4,Q4 2027,26.74,34.83,18.64,True,Pessimistic
Northern Cape,2028-01-01,2028,1,Q1 2028,26.59,32.84,20.34,True,Baseline
Northern Cape,2028-01-01,2028,1,Q1 2028,26.51,30.88,22.13,True,Optimistic
Northern Cape,2028-01-01,2028,1,Q1 2028,26.7,34.83,18.58,True,Pessimistic
Free State,2026-04-01,2026,2,Q2 2026,37.71,42.34,33.08,True,Baseline
Free State,2026-04-01,2026,2,Q2 2026,37.68,40.92,34.44,True,Optimistic
Free State,2026-04-01,2026,2,Q2 2026,37.75,43.76,31.73,True,Pessimistic
Free State,2026-07-01,2026,3,Q3 2026,37.84,42.48,33.2,True,Baseline
Free State,2026-07-01,2026,3,Q3 2026,37.79,41.04,34.54,True,Optimistic
Free State,2026-07-01,2026,3,Q3 2026,37.92,43.95,31.88,True,Pessimistic
Free State,2026-10-01,2026,4,Q4 2026,37.97,42.62,33.31,True,Baseline
Free State,2026-10-01,2026,4,Q4 2026,37.89,41.15,34.63,True,Optimistic
Free State,2026-10-01,2026,4,Q4 2026,38.08,44.13,32.03,True,Pessimistic
Free State,2027-01-01,2027,1,Q1 2027,38.1,42.77,33.43,True,Baseline
Free State,2027-01-01,2027,1,Q1 2027,37.99,41.26,34.72,True,Optimistic
Free State,2027-01-01,2027,1,Q1 2027,38.25,44.32,32.18,True,Pessimistic
Free State,2027-04-01,2027,2,Q2 2027,38.23,42.91,33.54,True,Baseline
Free State,2027-04-01,2027,2,Q2 2027,38.1,41.37,34.82,True,Optimistic
Free State,2027-04-01,2027,2,Q2 2027,38.42,44.51,32.33,True,Pessimistic
Free State,2027-07-01,2027,3,Q3 2027,38.35,43.05,33.66,True,Baseline
Free State,2027-07-01,2027,3,Q3 2027,38.2,41.49,34.91,True,Optimistic
Free State,2027-07-01,2027,3,Q3 2027,38.59,44.7,32.48,True,Pessimistic
Free State,2027-10-01,2027,4,Q4 2027,38.48,43.2,33.77,True,Baseline
Free State,2027-10-01,2027,4,Q4 2027,38.3,41.6,35.0,True,Optimistic
Free State,2027-10-01,2027,4,Q4 2027,38.75,44.88,32.63,True,Pessimistic
Free State,2028-01-01,2028,1,Q1 2028,38.61,43.34,33.88,True,Baseline
