province,year,constant_price_growth_pct,constant_price_rand,current_price_pct,current_price_rand
Eastern Cape,2013,,348091.7844513308,8.00291585674372,309603.20051535545
Eastern Cape,2014,0.767721862184545,350764.16118103196,8.002690971841691,330821.072367477
Eastern Cape,2015,0.9461861789800574,354083.04319494223,8.009492751971596,354083.0606697101
Eastern Cape,2016,0.7556836736122063,356758.7909433957,7.962401193943087,378974.94064006
Eastern Cape,2017,0.5067838331074714,358566.7868190865,7.94325220479666,403373.43315078196
Eastern Cape,2018,1.0973368940040418,362500.5,7.848324855392235,420920.60728789994
Eastern Cape,2019,0.06509314518461373,362737.4360702623,7.772694283544422,437230.1087010105
Eastern Cape,2020,-5.96680282873534,341093.6084739398,7.675248126623216,426955.6165805607
Eastern Cape,2021,5.202559736474099,358839.2020366005,7.628792455825079,473507.0991879728
Eastern Cape,2022,2.258490048405015,366943.5497043731,7.520607456567153,501367.38595786615
Eastern Cape,2023,0.749610691318936,369694.1977840623,7.615752199435605,535971.8458283163
Eastern Cape,2024,-0.15080954404649294,369136.6636500178,7.579063081771383,557246.7844137101
Free State,2013,,213388.85264961375,4.944314585827481,191277.23538877678
Free State,2014,1.8617794893400985,217361.6825407824,4.889217421838357,202114.044514364
Free State,2015,-0.27138768626771004,216771.799699702,4.903460099479528,216771.79987061303
Free State,2016,-0.04126947834792727,216682.32911288788,4.909071147588636,233649.998947762
Free State,2017,1.536964162143284,220012.66885705,4.9022459206170605,248945.35842064957
Free State,2018,0.7060910839395307,221565.5,4.860410025302197,260673.0451674394
Free State,2019,-0.05753491853286441,221438.67072167055,4.926107989916108,277103.74978517275
Free State,2020,-5.8379948037016405,208511.09263155345,4.982124377910311,277143.611588697
Free State,2021,4.213963392033748,217297.96057105868,5.009598730186696,310937.88126523443
Free State,2022,2.0431934582158418,221737.77828628296,4.974487197872064,331628.2171728208
Free State,2023,0.21654831525683704,222217.94770944983,4.918651934239483,346158.70988774084
Free State,2024,0.4836790697449578,223292.76941173724,4.963227609013325,364918.8027063645
Gauteng,2013,,1437069.99474183,33.19939502012868,1284361.7423197094
Gauteng,2014,1.6675866280989382,1461033.88363939,33.448701336684245,1382727.0137968
Gauteng,2015,1.1852833120333361,1478351.49444532,33.44086664783228,1478351.3489287288
Gauteng,2016,1.2774153849095526,1497235.9610680914,33.4214479199226,1590711.74516456
Gauteng,2017,1.0161640862726529,1512450.49519122,33.42519596455237,1697394.53375488
Gauteng,2018,2.046682539408473,1543404.49,33.4737270368088,1795259.7238431708
Gauteng,2019,0.5964314237650425,1552610.54687349,33.62173889042718,1891292.2615393193
Gauteng,2020,-7.253175128255962,1439997.170342632,33.21069018953259,1847430.9198882203
Gauteng,2021,4.442808486088534,1503973.9770210583,32.74725817063417,2032570.5952187416
Gauteng,2022,2.827995455696053,1546506.2927460652,32.945102212409644,2196311.916523049
Gauteng,2023,0.9342285838137121,1560954.1965833767,33.30377253576775,2343811.086758398
Gauteng,2024,0.7812432391192781,1573149.0457099332,33.213693825060915,2442020.0601089257
KwaZulu-Natal,2013,,703097.9134058034,16.296589104140732,630454.7285567211
KwaZulu-Natal,2014,1.966954956577105,716927.522663129,16.33154692618251,675125.504591189
KwaZulu-Natal,2015,1.2085343533915438,725591.998184285,16.413162819338538,725591.8828206823
KwaZulu-Natal,2016,0.7702439270512063,731180.6753301034,16.4543743471714,783154.941067495
KwaZulu-Natal,2017,1.5708290745746645,742666.29396586,16.535562724191408,839707.2802383632
KwaZulu-Natal,2018,1.4736478909895157,753610.5,16.50511870288001,885200.9461613859
KwaZulu-Natal,2019,0.1621842374820215,754832.697389324,16.328660994976953,918520.9093956667
KwaZulu-Natal,2020,-4.948985233058545,717476.2337122435,16.15089421843525,898435.4493296698
KwaZulu-Natal,2021,4.556952625935096,750171.7757834037,15.823301277751673,982127.3197548543
KwaZulu-Natal,2022,1.1208853364656157,758580.3412164635,15.871308847296069,1058073.656211142
KwaZulu-Natal,2023,1.1547350009992963,767339.9339271898,16.052465701764625,1129720.275419168
KwaZulu-Natal,2024,0.4447831714764927,770752.9328213168,16.10487078653884,1184102.4889714424
Limpopo,2013,,310377.41613308,7.280509972099856,281655.9900285179
Limpopo,2014,1.0775448927094367,313721.709973656,7.2336700228233735,299030.514246121
