province,date,year,quarter,quarter_label,neet_thousands
Limpopo,2019-07-01,2019,3,Q3 2019,905.2715306523007
Limpopo,2019-10-01,2019,4,Q4 2019,930.0887946702004
Limpopo,2020-01-01,2020,1,Q1 2020,942.2643204143
Limpopo,2020-04-01,2020,2,Q2 2020,1027.9540792767
Limpopo,2020-07-01,2020,3,Q3 2020,985.8740491411994
Limpopo,2020-10-01,2020,4,Q4 2020,946.7085266423007
Limpopo,2021-01-01,2021,1,Q1 2021,991.1008692596995
Limpopo,2021-04-01,2021,2,Q2 2021,1006.2883602254004
Limpopo,2021-07-01,2021,3,Q3 2021,1100.2121879560016
Limpopo,2021-10-01,2021,4,Q4 2021,1031.8536851154013
Limpopo,2022-01-01,2022,1,Q1 2022,1017.7879137261004
Limpopo,2022-04-01,2022,2,Q2 2022,940.1679576433015
Limpopo,2022-07-01,2022,3,Q3 2022,973.6529891580994
Limpopo,2022-10-01,2022,4,Q4 2022,920.7671376103006
Limpopo,2023-01-01,2023,1,Q1 2023,1010.3919208663001
Limpopo,2023-04-01,2023,2,Q2 2023,994.5233710425997
Limpopo,2023-07-01,2023,3,Q3 2023,930.0383742782989
Limpopo,2023-10-01,2023,4,Q4 2023,957.9610385944983
Limpopo,2024-01-01,2024,1,Q1 2024,967.2219429836013
Limpopo,2024-04-01,2024,2,Q2 2024,955.5839237943005
Limpopo,2024-07-01,2024,3,Q3 2024,945.1140109044002
Limpopo,2024-10-01,2024,4,Q4 2024,928.717338210401
Limpopo,2025-01-01,2025,1,Q1 2025,974.9562161758988
Limpopo,2025-04-01,2025,2,Q2 2025,949.7296280183992
Limpopo,2025-07-01,2025,3,Q3 2025,894.6889474954012
Limpopo,2025-10-01,2025,4,Q4 2025,913.1886665932998
Limpopo,2026-01-01,2026,1,Q1 2026,942.493722006301
